#row 	col 	t0 	t 	deltaT 	thl 	par0 	par1 	par2 	par3
0	0	608.832	654.629	45.7969	18	141.145	15.32	0.877399	608.853
0	16	608.465	659.34	50.875	16	46.7912	13.9573	0.46932	605.977
0	32	608.348	656.223	47.875	16	69.3944	11.0586	0.594221	606.271
0	48	608.348	657.824	49.4766	16	73.9282	10.299	0.614561	606.373
0	64	608.348	646.793	38.4453	14	102.58	13.1688	0.765988	607.263
0	80	608.348	654.707	46.3594	14	223.044	2.96306	0.952576	607.451
0	96	608.348	657.816	49.4688	16	826.859	-2.6636	1.27986	607.825
0	112	608.348	651.582	43.2344	14	37.6528	15.3591	0.447413	605.381
0	128	608.348	654.715	46.3672	18	34.8097	19.7773	0.280648	601.589
0	144	608.348	659.41	51.0625	18	130.826	8.50069	0.794028	607.058
0	160	608.348	654.676	46.3281	16	30.4197	17.7134	0.390637	605.011
0	176	608.348	657.816	49.4688	14	300.866	1.6146	1.04727	607.617
0	192	608.348	651.512	43.1641	14	218.599	11.4383	1.06967	607.945
0	208	608.496	660.941	52.4453	18	49.4598	14.5532	0.44582	605.186
0	224	608.348	654.629	46.2812	16	30.6901	17.9058	0.238077	600.747
0	240	608.348	664.059	55.7109	14	237.59	3.27916	0.994038	607.563
16	0	608.348	651.035	42.6875	16	27.6648	17.9433	0.211338	600.281
16	16	609.434	651.316	41.8828	20	238.932	13.373	1.03784	609.477
16	32	608.379	660.91	52.5312	16	44.6589	13.3275	0.432595	605.143
16	48	608.387	657.832	49.4453	18	37.9129	16.0467	0.381311	604.699
16	64	608.348	651.512	43.1641	16	162.584	10.3698	0.89095	607.584
16	80	608.348	649.66	41.3125	12	37.9826	13.3596	0.386986	604.319
16	96	608.348	660.91	52.5625	16	202.33	5.2944	0.915373	607.35
16	112	608.348	650.887	42.5391	16	32.3227	17.5972	0.386726	604.789
16	128	608.348	651.41	43.0625	14	439.415	5.67373	1.19506	607.946
16	144	608.348	656.332	47.9844	16	132.559	7.83895	0.78643	606.992
16	160	608.348	657.785	49.4375	14	33.2665	15.8209	0.295808	602.408
16	176	608.348	654.652	46.3047	20	72.0287	12.8782	0.5595	605.735
16	192	608.348	654.637	46.2891	14	103.699	13.6762	0.800566	607.625
16	208	608.348	642.488	34.1406	16	40.2317	16.7926	0.432441	605.006
16	224	608.348	657.777	49.4297	18	198.584	6.60854	0.920559	607.384
16	240	608.387	660.934	52.5469	18	46.9071	14.9318	0.430363	604.959
